News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Ahli Parlimen UMNO masih di blok kerajaan - Utusan Malaysia,https://www.utusan.com.my/terkini/2021/07/ahli-parlimen-umno-masih-di-blok-kerajaan/,2021-07-26,,"PETALING JAYA: Mesyuarat Khas Persidangan Dewan Rakyat hari ini menyaksikan kesemua 38 ahli Parlimen UMNO masih berada di blok kerajaan walaupun parti itu memutuskan menarik sokongan kepada Perdana Menteri, Tan Sri Muhyiddin Yassin.

Sebaliknya, sidang kali ini hanya berlaku perubahan kedudukan Datuk Seri Ismail Sabri Yaakob sebagai Timbalan Perdana Menteri yang dilihat duduk di sebelah Muhyiddin.

Carta tempat duduk di laman web Parlimen yang dikemas kini menunjukkan Ahli Parlimen UMNO, Tengku Razaleigh Hamzah (Gua Musang) dan Datuk Ahmad Jazlan Yaakub (Machang) juga dilihat duduk di blok kerajaan walaupun sebelum ini menarik sokongan terhadap Muhyiddin.

Mesyuarat khas Dewan Rakyat selama lima hari yang bermula hari ini akan menyaksikan Kabinet memberikan taklimat kepada ahli-ahli Parlimen mengenai tindakan menangani Covid-19.",2025-08-07
Utusan Malaysia,Elak tragedi Piala Raja Thai berulang di Korea Selatan,https://www.utusan.com.my/berita/2022/11/elak-tragedi-piala-raja-thai-berulang-di-korea-selatan/,2022-11-24,,"PETALING JAYA: Skuad sepak takraw kebangsaan tidak rela maruah mereka dirobek lagi selepas prestasi buruk yang dipamerkan pada Piala Raja Thai, September lalu dan menjelang Piala Dunia Sepak Takraw Istaf 2022 di Daejeon, Korea Selatan yang bermula 25-29 November ini kenangan pahit itu kalau boleh mahu dibuang jauh-jauh.

Pengurus skuad kebangsaan yang juga merangkap pengarah teknikal, Azhar Sarbini berkata, sebelum berangkat ke Korea Selatan, dia telah membuat persiapan rapi bersama anak-anak buahnya agar penyertaan Malaysia pada Piala Dunia kali ini tidak menjadi sia-sia.

“Saya cuba nak elakkan tragedi di Piala Raja Thai sebelum ini berulang, jadi saya banyak memberi penekanan kepada tekong, Mohammad Syahir Rosdi untuk membuat lebih banyak variasi dalam melakukan servis.

“Seperti yang kita tahu dia merupakan senjata terbaik yang kita ada, cuma mahu memastikan dia kekal konsisten sepanjang perlawanan itu yang menjadi cabaran,” katanya ketika dihubungi Utusan Malaysia di sini, semalam.

Selain Syahir, Malaysia turut menyenaraikan Muhammad Haziq Hairul Nizam, Mohamad Azlan Alias, Muhammad Noraizat Mohd Nordin, Amirul Zazwan Amir dan Norfaizzul Abd Razak.

Untuk skuad wanita pula, dibarisi Siti Norzubaidah Che Ab Wahab, Nur Fatihah Azizul, Nur Natasha Amirya Fazli, Nur Fatihah Sharudin, Razmah Anam dan Nadillatul Rosmahani Saidin.

Menurut Azhar, selain tumpuan diberi kepada Syahir, para pemain yang terpilih mewakili negara turut dipersiapkan dengan latihan ala ketenteraan yang dilaksanakan di Universiti Utara Malaysia (UUM), Sintok, Kedah. Jelasnya, usaha tersebut bertujuan bagi membantu para pemain meningkatkan tahap kecergasan dan kekuatan fizikal masing-masing.

“Saya harap latihan ala kententeraan ini dapat membantu mereka kerana boleh dilihat rata-rata pemain memberikan komitmen tinggi walaupun latihan yang saya rangka kali ini agak keras,” ujarnya.

Azhar yang kali pertama menggalas tugas sebagai pengurus dan pengarah teknikal bersama skuad kebangsaan memberitahu, dia hanya diberi masa selama 21 hari untuk menyediakan pasukan sebelum terbang ke Korea Selatan.

“Ini merupakan tugasan pertama saya sebagai pengurus/pengarah teknikal, apatah lagi saya hanya mempunyai 21 hari untuk menyediakan pasukan kerana saya juga masih mempunyai komitmen sebagai guru di sebuah sekolah di Lembah Klang.

“Jadi, saya cuba untuk membahagikan masa dan saya berharap kita mampu untuk mencapai hasrat yang telah pun ditetapkan, meraih sekurang-kurangnya satu gelaran juara daripada edisi kali ini,” tambahnya.",2025-08-07
Utusan Malaysia,Kementerian teliti cadangan tingkat harga lantai getah,https://www.utusan.com.my/terkini/2021/10/kementerian-teliti-cadangan-tingkat-harga-lantai-getah/,2021-10-17,,"BALING: Kementerian Perusahaan, Perladangan dan Komoditi akan meneliti cadangan meningkatkan harga lantai getah sekerap kepada RM3.50 sekilogram untuk membantu pekebun kecil meningkatkan pendapatan golongan tersebut.

Harga getah sekerap di pasaran tempatan pada pada masa ini seberat RM2.50 sekilogram.

Menterinya, Datuk Zuraida Kamaruddin berkata, pihaknya perlu membuat perbincangan mengenai harga lantai komoditi bersama pegawai berkaitan di bawah kementeriannya termasuk Lembaga Getah Malaysia (LGM) serta pihak daripada Kementerian Pembangunan Luar Bandar.

“Saya perlu teliti di peringkat kementerian apakah perkara yang saya harus ambil kira, di manakah kewangan yang boleh kumpulkan untuk saya pastikan boleh meningkatkan harga lantai getah.

“Pengerusi Risda (Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah) ada suarakan (cadangan itu) kepada saya, kita kena duduk bersama-sama (berbincang mengenai cadangan itu),” katanya.

Beliau berkata demikian pada sidang akhbar selepas menyantuni dan sesi dialog bersama 150 pekebun kecil, di sini hari ini.

Akhbar sebelum ini melaporkan kerajaan diminta mempertimbangkan menaikkan harga lantai getah sekerap kepada RM3.50 sekilogram mulai Januari tahun depan untuk membantu lebih ramai penoreh getah keluar daripada garis kemiskinan.

Pengerusi Risda, Datuk Mohd. Salim Mohd. Sharif berkata, harga lantai getah sekerap RM2.50 sekilogram ketika ini jauh lebih rendah berbanding kelapa sawit yang mencecah RM1,100 setiap tan sekali gus mewujudkan jurang yang besar antara pengusaha kebun getah dan kelapa sawit.

Dalam pada itu, Zuraida berkata, kementeriannya juga melakukan beberapa pendekatan untuk membantu meningkatkan pendapatan pekebun kecil seluruh negara termasuk Projek Transformasi Perusahaan Industri Getah (TARGET).

Jelasnya, TARGET merupakan projek pembangunan Pusat Pemprosesan Getah Krip Berkelompok bakal diperkenalkan kepada industri getah.

“Projek ini akan dapat menjayakan transformasi sektor pekebun kecil dengan diusahakan secara berkelompok dan perkongsian keuntungan secara bersama pada peringkat pekebun kecil, koperasi dan usahawan,” katanya.",2025-08-07
Utusan Malaysia,Misi ‘hidup mati’ Malaysia di Bogor,https://www.utusan.com.my/sukan/2022/10/misi-hidup-mati-malaysia-di-bogor/,2022-10-07,,"PETALING JAYA: Malaysia turun dengan misi ‘hidup mati’ apabila berdepan Emiriah Arab Bersatu (UAE) dalam Kelayakan P iala Asia Bawah 17 tahun (B-17) di Bogor, Indonesia hari ini kerana hanya kemenangan menghidupkan peluang anak-anak didik Osmera Omaro untuk memburu tiket ke pusi­ngan akhir tahun depan.

Bagaimanapun ia bukan tugas mudah kerana UAE pastinya mahu bangkit mencari tiga mata selepas kalah tipis 2-3 kepada Indonesia kelmarin.

Malah, pasukan itu juga menang besar 9-0 ke atas Guam, lawan yang mengikat Malaysia 1-1 dalam aksi kedua kelmarin.

“Pemain sedang mempersiapkan mental dan fizikal untuk mengharungi dua perlawanan getir (UAE dan Indonesia).

“Perlawanan menentang Guam tidak mencerminkan kebolehan pasukan dan pemain berazam untuk bangkit memburu kemenangan.

“Memang kami perlukan kemenangan pada aksi menentang UAE,” kata Osmera kepada Utusan Malaysia , semalam.

Malaysia kini di kedudukan ketiga Kumpulan B dan dibezakan dua mata de­ngan UAE yang sudah beraksi tiga perlawanan berbanding skuad negara yang baru dua kali beraksi.

Indonesia menerajui kumpulan dengan enam mata selepas kemenangan 14-0 mengatasi Guam dan 3-2 ke atas UAE.",2025-08-07
Utusan Malaysia,Ribuan penduduk berarak di AS - Utusan Malaysia,https://www.utusan.com.my/nasional/2018/07/ribuan-penduduk-berarak-di-as/,2018-07-01,,"WASHINGTON – Beribu-ribu penunjuk perasaan berarak di bandar-bandar di seluruh Amerika Syarikat (AS) kelmarin kerana menentang dasar lebih keras Presiden AS, Donald Trump terhadap imigran dan menuntut penyatuan segera keluarga yang terpisah di sempadan AS-Mexico. Penunjuk perasaan memenuhi Dataran Lafayette dekat White House dalam suasana sedih dan marah sebelum berarak ke bangunan kerajaan, Capitol. Orang ramai menyertai protes serupa di bandar raya Boston, Chicago, Los Angeles, New York dan Portland.",2025-08-07
Utusan Malaysia,29 ditahan rancang keganasan 22 Mei - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/05/29-ditahan-rancang-keganasan-22-mei/,2019-05-18,,"JAKARTA 18 Mei – Pada 22 Mei ini, Komisi Pemilihan Umum (KPU) akan mengumumkan keputusan pilihan raya Presiden (Pilpres) yang dilihat mendebarkan, lebih kepada hal berkaitan keselamatan dan ketenteraman awam. Ramai pemerhati politik melihat Presiden Joko Widodo (Widodo) bakal mempertahankan jawatannya itu untuk penggal kedua. Persoalannya kini lebih kepada debaran keselamatan di Indonesia ketika pencabarnya, Prabowo Subianto menolak proses pe­ngiraan undi Pilpres, yang didakwa berlaku penipuan.",2025-08-07
Utusan Malaysia,Bank makanan: KPDNHEP tingkat kerjasama,https://www.utusan.com.my/nasional/2022/10/bank-makanan-kpdnhep-tingkat-kerjasama/,2022-10-05,,"MELAKA: Kementerian Perdagangan Dalam Negeri dan Hal Ehwal Pengguna (KPDNHEP) mengalu-alukan pelbagai bentuk kerjasama dengan para pemain industri dan komuniti masyarakat untuk Program Bank Makanan Malaysia (PFBM).

Ketua Setiausaha KPDNHEP, Datuk Azman Mohd. Yusof berkata, tanggungjawab menghulurkan bantuan dan membantu masyarakat tidak terletak pada bahu kerajaan semata-mata.

Katanya, kementerian sentiasa meneroka potensi yang ada kerana tidak semua kerjasama adalah dalam bentuk peruntukan kewangan.

“Kita kena lihat perkongsian strategik dengan pihak industri seperti peruncitan dan pengedaran, perhotelan serta katering untuk terlibat sama meningkatkan bank makanan. Inilah cara mereka untuk tunjukkan sumbangan dalam bentuk tanggungjawab sosial masyarakat.

“Kita mengalu-alukan jika mereka ingin beri sumbangan. Masa saya ke Perlis dulu kita ada pusat khidmat dewan undangan negeri (DUN) yang digunakan sebagai tempat untuk menyampaikan barang-barang keperluan kepada yang memerlukan.

“Keperluan ini disumbangkan oleh individu-individu. Ini adalah budaya sihat dan kita wajar ketengahkan supaya rakyat Malaysia berganding bahu untuk membantu satu sama lain,” katanya dalam sidang akhbar selepas Majlis Perasmian Pusat Pengagihan dan Pengumpulan Bank Makanan Malaysia di Ayer Keroh di sini semalam.

Yang hadir sama Yang Dipertua Negeri, Tun Mohd. Ali Mohd. Rustam.",2025-08-07
Utusan Malaysia,Rooney pilihan utama bimbing Burnley,https://www.utusan.com.my/sukan/2022/04/rooney-pilihan-utama-bimbing-burnley/,2022-04-17,,"BURNLEY, England: Bekas bintang penyerang England dan Manchester United, Wayne Rooney mendahului senarai calon pengurus baharu Burnley bersama pengendali Middlesbrough, Chris Wilder selepas kelab Liga Perdana Inggeris itu memecat semalam.

Menurut firma pertaruhan Betfair, Rooney, 36, yang kini membimbing kelab Liga Kejua­raan, Derby County menjadi pilihan pertaruh.

Pada mulanya, jurulatih berpengalaman, Sam Allardyce me­nerima 10/3 pertaruhan sebaik sahaja Burnley mengumumkan keputusan mereka secara mengejut, namun ia kemudian berkurangan kepada 9/2.

Rooney kemudian menjadi pilihan untuk menjadi pengurus baharu Burnley, malah nama bekas penyerang dan pengendali United, Ole Gunnar Solskjaer turut menjadi sebutan.

Dyche, 50, merupakan pe­ngurus paling lama berkhidmat dalam Liga Perdana selepas mengambil alih kelab itu pada 2012, namun dia meninggalkan Burnley di kedudukan ke-18, hanya empat mata dipisahkan dari zon penyingkiran.

Skuad The Clarets tewas lima daripada enam perlawanan terakhir liga, di mana kekalahan terbaharu 2-1 kepada pasukan tercorot, Norwich, Ahad lalu mendorong Dyche disingkirkan.

Pengerusi Burnley, Alan Pace berkata, kelab itu sedang giat mencari pengurus baharu dan buat sementara, tugas tersebut akan diserahkan kepada jurulatih bawah 23 tahun, Mike Jackson sambil dibantu pengarah akademi, Paul Jenkins.",2025-08-07
Utusan Malaysia,Calon Bebas PRK Rantau bukan ahli Pas - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/03/calon-bebas-prk-rantau-bukan-ahli-pas/,2019-03-30,,"KUALA LUMPUR 30 Mac – Pas menafikan calon Bebas yang bertanding dalam Pilihan Raya Kecil (PRK) Dewan Undangan Negeri (DUN) Rantau, Mohd. Nor Yassin, 67, adalah ahli parti itu. MOHD. NOR YASSIN Setiausaha Agung Pas, Datuk Takiyuddin Hassan sebaliknya berkata, hasil semakan rekod keahlian parti mendapati Mohd. Nor telah menyertai Parti Amanah Negara (Amanah) sejak 10 Mac lalu. “Saya telah membuat semakan mengenai status keahlian Pas bagi penama Mohd.",2025-08-07
Utusan Malaysia,"Malaysia, ASEAN perlu bersedia jika Rusia berperang dengan Ukraine - Utusan Malaysia",https://www.utusan.com.my/berita/2021/12/malaysia-asean-perlu-bersedia-jika-rusia-berperang-dengan-ukraine/,2021-12-17,,"PETALING JAYA: Peperangan melibatkan beberapa kuasa besar dunia tidak mustahil boleh tercetus sekiranya krisis antara Rusia dan Ukraine tidak ditangani dengan sewajarnya.

Sumber dari pihak Rusia memberitahu Utusan Malaysia , sekiranya konflik itu melarat kepada peperangan, meskipun ia tidak akan membabitkan penggunaan senjata nuklear, namun kesannya boleh memusnahkan ekonomi ASEAN termasuk Malaysia.

Katanya, Rusia dan Ukraine merupakan antara sepuluh negara pengeluar makanan terbesar dunia yang mengeksport bijirin seperti gandum, jagung dan soya.

Jika peperangan meletus antara kedua-dua negara, ia bakal menjejaskan rantaian bekalan global bagi sektor penting khususnya makanan dan Malaysia sebagai negara yang bergantung tinggi kepada import makanan akan terjejas.

“Jika krisis Rusia-Ukraine tidak ditangani dengan betul dan Amerika Syarikat (AS) serta United Kingdom (UK) pula berterusan melakukan provokasi menggunakan Pertubuhan Atlantik Utara (NATO) dan Ukraine sebagai front , dikhuatiri ia akan melarat menjadi peperangan.

“Bila perang berlaku, harga makanan akan naik mendadak, sekali gus memberi kesan terhadap negara yang bergantung kepada import termasuk ASEAN dan Malaysia,” katanya.

Pada masa sama, kata sumber, peperangan akan mengakibatkan kenaikan drastik harga gas dan minyak mentah dunia yang akhirnya mendorong kepada hiperinflasi global.

“Sebagai pengeluar terbesar gas dunia, Rusia akan mengetatkan kawalan ke atas eksport gas dan minyak terutama kepada Eropah. Ini sekali gus akan mengurangkan kitaran bekalan peringkat global dan kesan buruk pasti akan dirasai ASEAN,” ujarnya

Krisis Rusia-Ukraine bermula pada 2014 apabila Presiden Ukraine pada waktu itu, Viktor Yanukovich yang rapat dengan Moscow digulingkan oleh pihak asing yang anti-Rusia, menggunakan mobilisasi rakyat yang didanai Pertubuhan Bukan Kerajaan (NGO) seperti National Endowment for Democracy (NED) serta Open Society Foundation (OSF).

Gerakan rakyat itu kemudian melarat kepada perang saudara apabila wilayah pro Moscow termasuk Donbass menentang rampasan kuasa tersebut, mendorong konflik yang mengakibatkan pesawat Malaysia MH17 ditembak jatuh pada 17 Julai 2014.

Mengulas perkara itu, sumber mendakwa, krisis terkini yang berlangsung antara Rusia-Ukraine, berpunca akibat tindakan AS dan UK yang mahu merampas Donbass di tenggara Rusia.

“Media Barat juga memesongkan fakta dengan menyebarkan propaganda seolah-olah Rusia mahu merampas Ukraine. Lihat kepada realiti, pasukan NATO kini bersiap sedia di sempadan negara kami.

“Agenda mereka ialah menggunakan Ukraine untuk merampas Donbass, seterusnya membentuk zon penampan yang kukuh dan memberi tekanan kepada Rusia. Malah, ada kod nama untuk projek ini yang disebut sebagai ‘Ukraine anti Rusia’ bagi mewujudkan sentimen kepada rakyat,” dakwanya.",2025-08-07
