News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Polis masih lengkapkan siasatan program eHati,https://www.utusan.com.my/nasional/2025/08/polis-masih-lengkapkan-siasatan-program-ehati/?utm_source=rss&utm_medium=rss&utm_campaign=polis-masih-lengkapkan-siasatan-program-ehati,"Tue, 05 Aug 2025 04:01:25 +0000",BERITA,"PETALING JAYA: Polis masih melengkapkan siasatan berhubung penganjuran program motivasi rumah tangga eHati yang didakwa melakukan aktiviti tidak bermoral di sebuah pusat konvensyen. Ketua Polis Selangor, Datuk Shazeli Kahar berkata, status siasatan masih aktif dengan beberapa aspek sedang di ambil tindakan susulan.",2025-08-05
Utusan Malaysia,Wanita dipenjara seminggu kerana rumput laman rumah kering,https://www.utusan.com.my/luar-negara/2025/08/wanita-dipenjara-seminggu-kerana-rumput-laman-rumah-kering/?utm_source=rss&utm_medium=rss&utm_campaign=wanita-dipenjara-seminggu-kerana-rumput-laman-rumah-kering,"Tue, 05 Aug 2025 04:00:29 +0000",Amerika,"FLORIDA: Seorang wanita di Florida ditahan selama seminggu di penjara selepas rumput di halaman rumahnya menjadi kering dan bertukar coklat akibat cuaca panas melampau, lapor ABC News. Mangsa, Irena Green, ditahan pihak berkuasa di Hillsborough County selepas syarikat pengurusan komuniti kediamannya, Trowbridge Company Inc., memfailkan saman terhadapnya kerana didakwa melanggar peraturan penampilan kawasan kejiranan.",2025-08-05
Utusan Malaysia,Terima komen biadab; Manusia seperti kamulah yang mencipta kejahatan – Puteri Balqis,https://www.utusan.com.my/nasional/2025/08/terima-komen-biadab-manusia-seperti-kamulah-yang-mencipta-kejahatan-puteri-balqis/?utm_source=rss&utm_medium=rss&utm_campaign=terima-komen-biadab-manusia-seperti-kamulah-yang-mencipta-kejahatan-puteri-balqis,"Tue, 05 Aug 2025 04:00:03 +0000",BERITA,"KUALA LUMPUR: Pelakon remaja, Puteri Balqis, 19, meluahkan rasa kecewa dan berang terhadap tindakan segelintir individu di media sosial yang mengecam serta memperlekehkan kehidupannya dan keluarga.",2025-08-05
Utusan Malaysia,"PARLIMEN: Kerajaan jamin bayar hasil petroleum Kelantan, Terengganu jika penuhi syarat",https://www.utusan.com.my/nasional/2025/08/parlimen-kerajaan-jamin-bayar-hasil-petroleum-kelantan-terengganu-jika-penuhi-syarat/?utm_source=rss&utm_medium=rss&utm_campaign=parlimen-kerajaan-jamin-bayar-hasil-petroleum-kelantan-terengganu-jika-penuhi-syarat,"Tue, 05 Aug 2025 03:55:30 +0000",BERITA,PETALING JAYA: Kerajaan memberi jaminan terus membuat bayaran tunai hasil petroleum kepada negeri sekiranya mendapati syarat ditetapkan dalam Akta Laut Wilayah 2012 [Akta 750]. Akta itu memperuntukkan bahawa bayaran tunai hasil petroleum kepada negeri jika hasil minyak mentah didapati dan diperoleh dalam perairan wilayah tiga batu nautika yang diukur daripada garis air surut.,2025-08-05
Utusan Malaysia,"Ceroboh rumah pempengaruh, lelaki direman empat hari",https://www.utusan.com.my/nasional/2025/08/ceroboh-rumah-pempengaruh-lelaki-direman-empat-hari/?utm_source=rss&utm_medium=rss&utm_campaign=ceroboh-rumah-pempengaruh-lelaki-direman-empat-hari,"Tue, 05 Aug 2025 03:52:43 +0000",BERITA,BALIK PULAU : Seorang lelaki yang disyaki menceroboh rumah milik seorang pempengaruh media sosial di Batu Maung dekat sini kelmarin direman selama empat hari. Perintah reman yang bermula hari ini sehingga 8 Ogos itu dikeluarkan oleh Majistret Chia Huey Ting di Mahkamah Balik Pulau selepas permohonan tersebut dikemukakan oleh pihak polis.,2025-08-05
Utusan Malaysia,PARLIMEN: Konflik Thailand-Kemboja terkawal walaupun tegang,https://www.utusan.com.my/nasional/2025/08/parlimen-konflik-thailand-kemboja-terkawal-walaupun-tegang/?utm_source=rss&utm_medium=rss&utm_campaign=parlimen-konflik-thailand-kemboja-terkawal-walaupun-tegang,"Tue, 05 Aug 2025 03:49:10 +0000",BERITA,"KUALA LUMPUR: Konflik di Thailand dan Kemboja pada ketika ini amat terkawal meskipun berada dalam keadaan sangat sensitif dan tegang. Perdana Menteri, Datuk Seri Anwar Ibrahim berharap ketegangan tersebut dapat ditamatkan pada 7 Ogos ini, sekali gus mencapai kata putus yang sebaiknya demi kepentingan kedua-dua negara berkenaan.",2025-08-05
Utusan Malaysia,Wan Kamaruzaman kini Pengerusi MBSB Investment Bank,https://www.utusan.com.my/ekonomi/2025/08/wan-kamaruzaman-kini-pengerusi-mbsb-investment-bank/?utm_source=rss&utm_medium=rss&utm_campaign=wan-kamaruzaman-kini-pengerusi-mbsb-investment-bank,"Tue, 05 Aug 2025 03:47:28 +0000",EKONOMI,"PETALING JAYA: MBSB Group mengumumkan bahawa Pengerusi Kumpulannya, Datuk Wan Kamaruzaman Wan Ahmad mengambil alih peranan yang diperluaskan sebagai Pengerusi MBSB Investment Bank, berkuat kuasa hari ini. Pelantikan ini berdasarkan peranan semasa beliau sebagai Pengerusi MBSB Berhad dan MBSB Bank Berhad.",2025-08-05
Utusan Malaysia,"Salun percuma untuk fakir miskin, gelandangan",https://www.utusan.com.my/gaya/2025/08/salun-percuma-untuk-fakir-miskin-gelandangan/?utm_source=rss&utm_medium=rss&utm_campaign=salun-percuma-untuk-fakir-miskin-gelandangan,"Tue, 05 Aug 2025 03:30:17 +0000",GAYA,"Golongan fakir miskin dan gelandangan sinonim dikaitkan dengan penampilan yang tidak terurus. Namun, menerusi inisiatif Salun Kecantikan untuk Kehidupan Baik atau Beauty For a Better Life (BFBL) yang dirintis Yayasan L’Oréal, mereka kini tampak lebih menawan.",2025-08-05
Utusan Malaysia,"Akibat sebotol ketum, dua beradik dikejar polis hampir sejam sebelum ditahan",https://www.utusan.com.my/nasional/jenayah/2025/08/akibat-sebotol-ketum-dua-beradik-dikejar-polis-hampir-sejam-sebelum-ditahan/?utm_source=rss&utm_medium=rss&utm_campaign=akibat-sebotol-ketum-dua-beradik-dikejar-polis-hampir-sejam-sebelum-ditahan,"Tue, 05 Aug 2025 03:25:36 +0000",BERITA,"SHAH ALAM: Akibat sebotol air ketum yang disorok di bawah tempat duduk sebelah pemandu, dua beradik panik dan cuba melarikan diri daripada diperiksa polis ketika berada dekat Pusat Komersial, Seksyen 7, di sini, awal pagi tadi.",2025-08-05
Utusan Malaysia,"PARLIMEN: Kalau PM sanggup, hari ini pun saya berjumpa -Hamzah Zainuddin",https://www.utusan.com.my/nasional/2025/08/parlimen-kalau-pm-sanggup-hari-ini-pun-saya-berjumpa-hamzah-zainuddin/?utm_source=rss&utm_medium=rss&utm_campaign=parlimen-kalau-pm-sanggup-hari-ini-pun-saya-berjumpa-hamzah-zainuddin,"Tue, 05 Aug 2025 03:15:04 +0000",BERITA,"KUALA LUMPUR: Ketua Pembangkang, Datuk Seri Hamzah Zainuddin menyatakan kesediaannya untuk bersemuka dengan Perdana Menteri bagi membincangkan isu mengenai peruntukan kepada ahli parlimen pembangkang yang masih tergantung sehingga hari ini.",2025-08-05
