News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Anak doktor dalang sindiket edar ganja dicekup,https://www.utusan.com.my/nasional/2025/08/anak-doktor-dalang-sindiket-pengedaran-ganja-dicekup/?utm_source=rss&utm_medium=rss&utm_campaign=anak-doktor-dalang-sindiket-pengedaran-ganja-dicekup,"Sun, 10 Aug 2025 23:27:34 +0000",BERITA,"KOTA BHARU: Dua lelaki yang merupakan anak kepada seorang doktor dicekup polis Selasa lalu selepas dipercayai menjadi dalang sindiket pengedaran ganja di Kampung But, Ketereh di sini. Dalam serbuan pukul 4.30 petang itu polis menjumpai 35 kilogram (kg) dadah jenis ganja bernilai RM299,590 selain me­rampas sepucuk pistol bersama 16 butir peluru.",2025-08-10
Utusan Malaysia,Polis jejaki dua rakan didakwa khianati Eda Ezrin,https://www.utusan.com.my/nasional/2025/08/polis-jejaki-dua-rakan-didakwa-khianati-eda-ezrin/?utm_source=rss&utm_medium=rss&utm_campaign=polis-jejaki-dua-rakan-didakwa-khianati-eda-ezrin,"Sun, 10 Aug 2025 23:27:28 +0000",BERITA,"KOTA BHARU: Polis Kelantan giat menjejak dua rakan yang didakwa melakukan khianat ke atas penyanyi Bea Sobar Bea, Eda Ezrin dan suami bersama empat rakan yang dibebaskan daripada pertuduhan memiliki 6,059 biji pil kuda dari Penjara Wilayah Narathiwat, Thailand pada Rabu lalu. Ketua Polis negeri, Datuk Mohd.",2025-08-10
Utusan Malaysia,"Gempa bumi 6.1 gegar barat laut Turkiye, 16 bangunan runtuh",https://www.utusan.com.my/luar-negara/2025/08/gempa-bumi-6-1-gegar-barat-laut-turkiye-16-bangunan-runtuh/?utm_source=rss&utm_medium=rss&utm_campaign=gempa-bumi-6-1-gegar-barat-laut-turkiye-16-bangunan-runtuh,"Sun, 10 Aug 2025 23:24:28 +0000",Eropah,"ISTANBUL: Gempa bumi berukuran 6.1 skala Richter melanda wilayah Balikesir di barat laut Turkiye pada Ahad, mengorbankan sekurang-kurangnya seorang mangsa, 29 cedera dan menyebabkan lebih sedozen bangunan runtuh. Gempa yang berpusat di bandar Sindirgi itu turut dirasai sejauh 200 kilometer ke utara di Istanbul, sebuah bandar yang dihuni lebih 16 juta penduduk.",2025-08-10
Utusan Malaysia,Panduan waktu sesuai beli rumah di pasaran subsale,https://www.utusan.com.my/ekonomi/2025/08/panduan-waktu-sesuai-beli-rumah-di-pasaran-subsale/?utm_source=rss&utm_medium=rss&utm_campaign=panduan-waktu-sesuai-beli-rumah-di-pasaran-subsale,"Sun, 10 Aug 2025 23:18:06 +0000",EKONOMI,"PASARAN rumah subsale sering menjadi pilihan pembeli kerana lokasinya yang matang, kemudahan sedia ada dan harga yang lebih fleksibel berbanding rumah baharu. Namun, memilih waktu yang sesuai untuk membeli rumah jenis ini boleh memberi perbezaan besar dari segi harga, kelulusan pinjaman dan pulangan jangka panjang.",2025-08-10
Utusan Malaysia,Penduduk Israel berkeras bantah pelan duduki Gaza,https://www.utusan.com.my/luar-negara/2025/08/penduduk-israel-berkeras-bantah-pelan-duduki-gaza/?utm_source=rss&utm_medium=rss&utm_campaign=penduduk-israel-berkeras-bantah-pelan-duduki-gaza,"Sun, 10 Aug 2025 23:17:01 +0000",Asia Barat,"TEL AVIV: Puluhan ribu penunjuk perasaan membanjiri Tel Aviv dan beberapa bandar di seluruh Israel pada malam Sabtu, menuntut perjanjian pertukaran tebusan serta gencatan senjata sebelum Israel melaksanakan misi menawan Gaza. Keluarga tebusan turut menggesa mogok besar-besaran sebagai bantahan terhadap rancangan tersebut yang mereka bimbang bakal mengorbankan nyawa insan tersayang.",2025-08-10
Utusan Malaysia,"Salah tegur UEFA, ‘takut’ bersuara kematian Suleiman",https://www.utusan.com.my/premium/2025/08/salah-tegur-uefa-takut-bersuara-kematian-suleiman/?utm_source=rss&utm_medium=rss&utm_campaign=salah-tegur-uefa-takut-bersuara-kematian-suleiman,"Sun, 10 Aug 2025 23:15:18 +0000",Bola Sepak,"LONDON: Bintang Liverpool, Mohamed Salah lantang menyuarakan rasa tidak puas hati terhadap badan induk bola sepak Eropah UEFA, berkaitan penghormatan yang diberikan kepada Suleiman Al-Obeid yang digelar &#8216;Pele Palestin&#8217; selepas organisasi itu gagal menyatakan punca sebenar kematian legenda bola sepak berkenaan minggu ini.",2025-08-10
Utusan Malaysia,Gen Sphere tawar pemilikan kekal berhampiran RTS Link,https://www.utusan.com.my/ekonomi/2025/08/gen-sphere-tawar-pemilikan-kekal-berhampiran-rts-link/?utm_source=rss&utm_medium=rss&utm_campaign=gen-sphere-tawar-pemilikan-kekal-berhampiran-rts-link,"Sun, 10 Aug 2025 23:10:27 +0000",EKONOMI,PROJEK pembangunan kediaman Gen Sphere oleh Majestic Gen Sdn. Bhd. tampil sebagai antara peluang pelaburan hartanah jarang ditemui di pusat bandar Johor Bahru dengan status pemilikan kekal dengan nilai pembangunan kasar (GDV) berjumlah RM837 juta.,2025-08-10
Utusan Malaysia,Serangan udara Zionis ragut lima nyawa wartawan Al Jazeera di Gaza,https://www.utusan.com.my/luar-negara/2025/08/serangan-udara-zionis-ragut-lima-nyawa-wartawan-al-jazeera-di-gaza/?utm_source=rss&utm_medium=rss&utm_campaign=serangan-udara-zionis-ragut-lima-nyawa-wartawan-al-jazeera-di-gaza,"Sun, 10 Aug 2025 23:07:32 +0000",Asia Barat,"GAZA: Wartawan Al Jazeera, Anas al-Sharif, terbunuh bersama empat rakan sekerja dalam satu serangan terancang oleh Israel terhadap sebuah khemah yang menempatkan petugas media di Bandar Gaza.",2025-08-10
Utusan Malaysia,KWSP: Golongan muda tolak pencen bulanan,https://www.utusan.com.my/berita/2025/08/kwsp-golongan-muda-tolak-pencen-bulanan/?utm_source=rss&utm_medium=rss&utm_campaign=kwsp-golongan-muda-tolak-pencen-bulanan,"Sun, 10 Aug 2025 23:00:28 +0000",BERITA,"PETALING JAYA: Orang muda me­nolak cadangan skim baya­ran pencen secara bulanan bagi ahli Kumpulan Wang Simpanan Pekerja (KWSP). Sebaliknya, rata-rata golo­ngan muda yang ditemui Utusan Malaysia mahu skim pengeluaran wang pencen KWSP sedia ada dikekalkan, dengan alasan ia memberi mereka kebebasan untuk merancang kewangan.",2025-08-10
Utusan Malaysia,Gyokeres bakal gegar EPL,https://www.utusan.com.my/premium/2025/08/gyokeres-bakal-gegar-epl/?utm_source=rss&utm_medium=rss&utm_campaign=gyokeres-bakal-gegar-epl,"Sun, 10 Aug 2025 23:00:12 +0000",Bola Sepak,"LONDON: Pengurus Arsenal, Mikel Arteta optimis Viktor Gyokeres mampu menghadirkan impak besar buat The Gunners selepas mencetak gol sulung buat kelab itu ketika menutup kempen pramusim dengan kemenangan 3-0 ke atas Athletic Club, semalam.",2025-08-10
Berita Harian,Jenazah Zara Qairina selamat dikebumikan semula,https://www.bharian.com.my/berita/nasional/2025/08/1431509/jenazah-zara-qairina-selamat-dikebumikan-semula,"Mon, 11 Aug 2025 07:26:09 +0000",Nasional,"SIPITANG: Jenazah pelajar Sekolah Menengah Kebangsaan Agama (SMKA) Tun Datu Mustapha Papar, Allahyarham Zara Qairina Mahathir, 13, selamat dikebumikan semula di lokasi sama jam 1:15 pagi tadi.",2025-08-10
Berita Harian,"Sabah anjur majlis tahlil, doa peringkat negeri untuk Zara Qairina Khamis ini - EXCO",https://www.bharian.com.my/berita/nasional/2025/08/1431507/sabah-anjur-majlis-tahlil-doa-peringkat-negeri-untuk-zara-qairina,"Mon, 11 Aug 2025 07:01:36 +0000",Nasional,KOTA KINABALU: Kerajaan negeri akan menganjurkan Majlis Tahlil dan Doa Peringkat Negeri untuk kesejahteraan Allahyarhamah Zara Qairina Mahathir pada 14 Ogos ini.,2025-08-10
Berita Harian,Slot perlu perkukuh benteng pertahanan,https://www.bharian.com.my/sukan/bola/2025/08/1431505/slot-perlu-perkukuh-benteng-pertahanan,"Mon, 11 Aug 2025 06:56:02 +0000",Bola,"LIVERPOOL, England: Pengurus Liverpool, Arne Slot berkata pasukannya tidak boleh kerap dibolosi jika mahu mempertahankan kejuaraan Liga Perdana Inggeris (EPL), selepas tewas kepada Crystal Palace menerusi penentuan penalti pada aksi Perisai Komuniti lewat malam tadi.",2025-08-10
Berita Harian,"Tiada 'tangan ganggu' bedah siasat Zara Qairina, laporan paling lambat dua bulan – Peguam",https://www.bharian.com.my/berita/nasional/2025/08/1431501/tiada-tangan-ganggu-bedah-siasat-zara-qairina-laporan-paling-lambat,"Mon, 11 Aug 2025 00:37:26 +0000",Nasional,"KOTA KINABALU: Proses bedah siasat jenazah Allahyarham Zara Qairina Mahathir yang dibuat di Jabatan Forensik Hospital Queen Elizabeth (HQE), di sini, berjalan lancar tanpa sebarang gangguan.",2025-08-10
Berita Harian,"Palace kejutkan Liverpool, julang piala Perisai Komuniti",https://www.bharian.com.my/sukan/bola/2025/08/1431499/palace-kejutkan-liverpool-julang-piala-perisai-komuniti,"Mon, 11 Aug 2025 00:36:12 +0000",Bola,"LONDON: Crystal Palace mencipta sensasi apabila menewaskan juara Liga Perdana Inggeris (EPL), Liverpool, 3-2 menerusi penentuan penalti untuk menjulang Perisai Komuniti 2025 selepas kedua-dua pasukan terikat 2-2 dalam aksi penuh dramatik di Stadium Wembley, malam tadi.",2025-08-10
Berita Harian,Penang FC gagal raih mata di laman sendiri,https://www.bharian.com.my/sukan/bola/2025/08/1431496/penang-fc-gagal-raih-mata-di-laman-sendiri,"Sun, 10 Aug 2025 23:51:53 +0000",Bola,"GEORGETOWN: Impian Penang FC untuk meraikan kemenangan di hadapan penyokong sendiri pada aksi sulung Liga Super 2025/2026 lebur apabila tewas 0-3 kepada Terengganu FC (TFC) di Stadium Bandaraya, sebentar tadi.",2025-08-10
Berita Harian,Kes Zara Qairina: Peguam akan mohon inkues jika keluarga tidak puas hati keputusan bedah siasat,https://www.bharian.com.my/berita/nasional/2025/08/1431494/kes-zara-qairina-peguam-akan-mohon-inkues-jika-keluarga-tidak-puas,"Sun, 10 Aug 2025 23:48:19 +0000",Nasional,KOTA KINABALU: Peguam keluarga Allahyarham Zara Qairina Mahathir akan memohon diadakan inkues jika keputusan bedah siasat yang dijalankan ke atas jenazah arwah tidak memuaskan hati keluarga.,2025-08-10
Berita Harian,Jalur Gemilang digantung terbalik: Video lama dikongsi semula - Polis,https://www.bharian.com.my/berita/nasional/2025/08/1431492/jalur-gemilang-digantung-terbalik-video-lama-dikongsi-semula-polis,"Sun, 10 Aug 2025 23:37:18 +0000",Nasional,"SUNGAI BULOH: Polis menerima laporan berhubung penularan video yang menunjukkan Jalur Gemilang digantung terbalik di sebuah premis perniagaan di Bandar Pinggiran Subang di sini, semalam.",2025-08-10
Berita Harian,Jaringan Kaseh Carlmila bantu Malayan Tigress B-20 tewaskan Guam,https://www.bharian.com.my/sukan/bola/2025/08/1431490/jaringan-kaseh-carlmila-bantu-malayan-tigress-b-20-tewaskan-guam,"Sun, 10 Aug 2025 23:06:27 +0000",Bola,"KUALA LUMPUR: Skuad bola sepak wanita bawah 20 (B-20) tahun negara menutup kempen kelayakan Piala Asia Wanita B-20 2026 dengan kemenangan apabila menewaskan Guam 2-0 dalam aksi terakhir Kumpulan F, sebentar tadi.",2025-08-10
