News_Source,Unique_ID,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,236505,[VIDEO] Tular wanita rotan anjing hingga menangis kesakitan - Utusan Malaysia,https://www.utusan.com.my/nasional/komuniti/2021/12/video-tular-wanita-rotan-anjing-hingga-menangis-kesakitan/,,,[VIDEO] Tular wanita rotan anjing hingga menangis kesakitan - Utusan Malaysia,2025-08-06
Utusan Malaysia,814713,Najib tidak beri kerjasama semasa disoal siasat,https://www.utusan.com.my/nasional/2023/11/najib-tidak-beri-kerjasama-semasa-disoal-siasat-2/,,,Najib tidak beri kerjasama semasa disoal siasat,2025-08-06
Utusan Malaysia,253634,Bursa Malaysia bermula lemah 2022 - Utusan Malaysia,https://www.utusan.com.my/ekonomi/2022/01/bursa-malaysia-bermula-lemah-2022/,,,Bursa Malaysia bermula lemah 2022 - Utusan Malaysia,2025-08-06
Utusan Malaysia,857066,"KPI mampu ukur pencapaian, hala tuju universiti",https://www.utusan.com.my/berita/2024/01/kpi-mampu-ukur-pencapaian-hala-tuju-universiti/,,,"KPI mampu ukur pencapaian, hala tuju universiti",2025-08-06
Utusan Malaysia,203200,Tangkapan 12 lelaki selesai 12 kes pecah rumah - Utusan Malaysia,https://www.utusan.com.my/terkini/2021/10/tangkapan-12-lelaki-selesai-12-kes-pecah-rumah/,,,Tangkapan 12 lelaki selesai 12 kes pecah rumah - Utusan Malaysia,2025-08-06
Utusan Malaysia,633011,Kuala Lumpur destinasi kedua pilihan selepas Kuta - Airbnb - Utusan Malaysia,https://www.utusan.com.my/ekonomi/2022/12/kuala-lumpur-destinasi-kedua-pilihan-selepas-kuta-airbnb/,,,Kuala Lumpur destinasi kedua pilihan selepas Kuta - Airbnb - Utusan Malaysia,2025-08-06
Utusan Malaysia,290236,"Hilang dua minggu, Bunjai ditemukan selamat - Utusan Malaysia",https://www.utusan.com.my/nasional/2019/07/hilang-dua-minggu-bunjai-ditemukan-selamat/,,,"Hilang dua minggu, Bunjai ditemukan selamat - Utusan Malaysia",2025-08-06
Utusan Malaysia,387292,"GST, masihkah kau ingat - Utusan Malaysia",https://www.utusan.com.my/nasional/2019/10/gst-masihkah-kau-ingat/,,,"GST, masihkah kau ingat - Utusan Malaysia",2025-08-06
Utusan Malaysia,459184,Suamiku rupanya penagih dadah  - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/03/suamiku-rupanya-penagih-dadah/,,,Suamiku rupanya penagih dadah  - Utusan Malaysia,2025-08-06
Utusan Malaysia,422789,"Nilai kasih sayang, gembira dan menghormati - Utusan Malaysia",https://www.utusan.com.my/nasional/2019/06/nilai-kasih-sayang-gembira-dan-menghormati/,,,"Nilai kasih sayang, gembira dan menghormati - Utusan Malaysia",2025-08-06
