News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Dera: JKM sedia laporan sosial kenal pasti wujud kecuaian - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/01/dera-jkm-sedia-laporan-sosial-kenal-pasti-wujud-kecuaian/,2019-01-29,,"IPOH 29 Jan. – Jabatan Kebajikan Masyarakat (JKM) Perak akan menyediakan laporan sosial bagi mengenal pasti wujud unsur kecuaian sepanjang penjagaan bayi berusia 9 bulan yang meninggal dunia semalam dipercayai didera pengasuh.  Pengarah jabatan berkenaan Ruhaini Zawawi berkata pihaknya akan mengambil keterangan keluarga bayi berkenaan serta pengasuh bagi mengenal pasti sama ada berlaku kecuaian atau tidak.  “Laporan sosial ini penting bagi memastikan kes dapat dikendalikan dengan teliti dan tepat,” katanya.",2025-08-07
Utusan Malaysia,Soniia kembali ke Bukit Kiara - Utusan Malaysia,https://www.utusan.com.my/sukan/2021/06/soniia-kembali-ke-bukit-kiara/,2021-06-04,,"PETALING JAYA: Dalam memastikan persiapannya untuk menghadapi Sukan Olimpik 2020 berjalan baik, Soniia Cheah memilih untuk kembali ke Akademi Badminton Malaysia (ABM), Bukit Kiara hujung bulan ini bagi menjalani latihan berpusat.

Dia yang sebelum ini digugurkan daripada skuad kebangsaan muncul satu-satunya perseorangan wanita negara yang layak beraksi di Tokyo berdasarkan ranking dunia.

Soniia, 28, berdepan kesukaran untuk menjalani latihan sebagai pemain bebas kerana gelanggang badminton dan gimnasium ditutup sepanjang pelaksanaan ‘total lockdown’ akibat Covid-19 sejak 1 Jun lalu.

“Saya akan sertai kem latihan sama ada hujung bulan ini atau awal, Julai nanti,” katanya kepada Utusan Malaysia semalam.

Sebelum ini, Soniia tidak dapat membuat keputusan sama ada ingin menyertai kem itu atau sebaliknya kerana memiliki pelbagai tanggungjawab di luar sebagai pemain profesional termasuk memenuhi keperluan pihak penaja.

Selain Soniia, pasangan beregu campuran, Chan Peng Soon-Goh Liu Ying juga sudah menyertai kem latihan di ABM yang menggunakan konsep gelembung sukan bagi mengekang penularan Covid-19.

Persatuan Badminton Malaysia (BAM) turut memanggil Tan Kian Meng-Lai Pei Jing untuk menjadi rakan sepelatih Peng Soon-Liu Ying selain Liew Daren yang akan membantu persiapan Lee Zii Jia ke Sukan Olimpik Tokyo.",2025-08-07
Utusan Malaysia,[VIDEO] Nikmati sajian suasana lampau - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/03/video-nikmati-sajian-suasana-lampau/,2019-03-22,,"KADANG-KALA suasana yang menggamit memori membangkitkan lagi keenakan juadah yang sedang dinikmati ditambah pula dengan makanan yang enak terhidang di hadapan mata Ini yang dapat dirasai di restoran Chacibor yang terletak di Kampung Asam Kumbang, Taiping, Perak. Restoran berkenaan beroperasi setiap hari bermula pukul 5 petang sehingga 12 malam.",2025-08-07
Utusan Malaysia,Persatuan Badminton Thailand (BAT) minat dapatkan Misbun Sidek,https://www.utusan.com.my/sukan/2024/01/persatuan-badminton-thailand-bat-minat-dapatkan-misbun-sidek/,2024-01-09,,"PETALING JAYA: Bekas jurulatih badminton negara, Datuk Misbun Sidek mengesahkan telah menerima tawaran daripada Persatuan Badminton Thailand (BAT) pada bulan lalu.

Khabar angin ini semakin kuat apabila pengendali berusia 63 tahun itu mula kembali ke gelanggang awal bulan lalu dengan melatih tiga pemain muda Thailand di Nusa Mahsuri.

Begitupun Misbun masih memerlukan masa untuk meneliti tawaran dari BAT sebelum membuat sebarang keputusan.

“Sementara ini hanyalah percubaan sahaja, nak tengok sama ada pemain Thailand yang dihantar ini (ke Nusa Mhasuri) boleh mencapai kejayaan atau tidak pada masa hadapan.

“Mereka (BAT) telah memberikan kepercayaan penuh kepada saya untuk saya melihat pemain-pemain yang berpotensi bagi membantu meningkatkan prestasi mereka. Jika boleh, maka kemungkinan kerjasama ini akan berpanjangan,” jelas Misbun yang ditemui ketika Majlis Pelancaran Pameran Anak-Anak Sidek di Muzium Sultan Alam Shah, Shah Alam semalam.

Pameran tersebut yang telah dilancarkan sejak 1 November 2023 telah menarik perhatian seramai 5,000 pengunjung, menampilkan koleksi peribadi Misbun dan adik beradiknya sepanjang mewakili negara.

Lebih menarik, rumah warisan Allahyarham Haji Sidek di Kanchong Darat, Banting pula dalam perancangan oleh Kerajaan Negeri Selangor untuk dijadikan sebagai tarikan pelancongan.",2025-08-07
Utusan Malaysia,Opah Yang guna Shopee jual dodol - Utusan Malaysia,https://www.utusan.com.my/berita/2021/11/opah-yang-guna-shopee-jual-dodol/,2021-11-01,,"PASIR SALAK: Sama seperti perniagaan lain, perusahaan kecil dan sederhana (PKS) produk dodol jenama Dodol Opah Yang yang diusahakan wanita warga emas, Saerah Abdul Majid, 78, di sini turut terjejas permintaannya disebabkan Covid-19.

Pengurus Operasi Era Empai Maju Enterprise yang mengeluarkan produk jenama itu, Normi Mohd. Ramli  berkata, sebelum pandemik melanda, pasaran produk syarikat itu hanya di sekitar daerah ini.

Katanya, produk dodol dijual di kedai bersebelahan rumah di Kampung Empai Teluk Sareh, Kampung Gajah di sini.

“Pasaran ketika itu hanya dari kalangan penduduk tempatan dan orang luar yang melalui jalan Kampung Gajah ke Bota Kanan.

“Itulah cara kami memasarkan Dodol Opah Yang, menyebabkan semasa pandemik Covid-19 mula melanda Mac tahun lalu, jualan produk kami terjejas.

“Ketika itu kami memikirkan masa depan perniagaan kami ini,” katanya ketika ditemui di sini.

Menurutnya Normi, mereka kemudiannya mengambil inisiatif memulakan jualan secara dalam talian dengan memuat naik gambar produk dodol dalam media sosial serta platform Shopee.

Katanya, syarikat mula memuat naik gambar produk dodol dalam pelbagai platform media sosial selepas tiga bulan Perintah Kawalan Pergerakan (PKP) yang pertama dilaksanakan.

“Namun ketika itu usaha kami itu masih kurang mendapat sambutan, mungkin kerana pada masa itu kurang ilmu mengenai pemasaran secara dalam talian,” katanya.

Menurutnya, semuanya berubah dengan idea daripada Pengerusi Eksekutif Institut Agro Usahawan (IGrow) di sini, Nordin Abdul Malek yang menawarkan diri untuk membantu mereka dengan menghasilkan video emaknya, Saerah Abdul Majid atau lebih popular dengan nama Opah Yang.

Katanya, sejak rakaman sejak video emaknya tular tahun lalu, jualan produk syarikat itu meningkat begitu ketara.

“Permintaan bertambah selepas menjual dodol secara dalam talian dan peningkatan jualan kami lebih daripada 50 peratus berbanding sebelum Covid-19.

“Sebelum pandemik,  kami boleh jual antara 200 hingga 300 kilogram sebulan, tapi sejak video Opah Yang menjadi tular serta penambah baikkan kaedah pemasaran dalam talian, jualan mencecah  hampir 500 kilogram sebulan malah sehingga satu tan apabila Hari Raya.

“Untuk memenuhi permintaan tempahan, kami membeli sebuah lagi mesin pembuat dodol selain membesarkan kedai sedia ada,” katanya.

Sementara itu, Saerah bersyukur kerana kerana perniagaan yang diusahakannya berpuluh tahun masih bertahan walaupun berdepan cabaran wabak Covid-19.

Menurutnya, tempoh tiga bulan pertama pandemik itu benar-benar mengujinya dan anaknya kerana dodol dihasilkan tidak terjual malah terpaksa menutup perniagaan buat sementara waktu.

“Selepas video saya berlakon tular dalam media sosial, jualan dodol kembali pulih malah semakin meningkat.

“Harapan saya semoga perniagaan dodol turun temurun ini dapat berkembang dikenali ramai,” katanya.",2025-08-07
Utusan Malaysia,Maksimumkan tanah pertanian bagi penghasilan makanan,https://www.utusan.com.my/rencana/forum/2023/04/maksimumkan-penggunaan-tanah-pertanian-bagi-penghasilan-makanan/,2023-04-07,,"SAUDARA PENGARANG,

PENINGKATAN kos sara hidup menjadi isu utama negara dengan kos makanan merupakan komponen utama. Dalam pada itu, negara sedang mengimport makanan bernilai RM65 bilion setahun. Soalannya, mengapa Malaysia tidak meningkatkan pengeluaran hasil makanan dalam negara?

Jawapannya mudah, tiada tanah untuk diusahakan. Tanah berstatus pertanian di pinggir bandar berharga ratusan ribu seekar, di pinggir kampung pula sudah mencecah RM100,000 seekar. Harga ini tidak munasabah untuk tujuan bercucuk tanam.

Tanah merupakan faktor terpenting dalam kebanyakkan pengusahaan pertanian dan ia tidak semestinya memerlukan teknologi canggih dan pelaburan besar. Lihat sahaja bagaimana negara menjadi pembekal utama bagi getah dan kelapa sawit. Oleh itu, setiap inci tanah pertanian harus digunakan untuk menjadikan Malaysia pengeksport bersih, bukannya pengimport bahan makanan.

Masalah ketiadaan tanah untuk pertanian berlaku sejak awal kemerdekaan lagi. Pada ttahun 50-an dan sepanjang abad tersebut Malaysia mendapatkan bekalan sayuran dan buah-buahan dari petani yang mengusahakan tanah Lesen Kependudukan Sementara (TOL) kerajaan dan rizab kereta api. Pada hari ini kita mendapatkan bekalan tersebut dari China yang harganya tidak tercapai oleh kita. Berapa lama lagi kita mahu bergantung kepada negara tersebut?

Sebenarnya bukan tiada tanah tetapi tanah berada di tangan spekulator. Dasar pemberian TOL dalam beberapa segi diperhatikan lebih sesuai dari alienasi untuk memastikan pengeluaran pertanian berterusan. Yang menariknya, pada hari ini masih lagi terdapat pengusaha tanah TOL kerajaan berjaya dengan cemerlang menghasilkan produk pertanian sebegitu lama meminta geran tanah diberikan kepada mereka. Di satu sudut, mereka nampaknya tidak lagi berminat untuk bertani.

Justeru, langkah terbaik adalah menaikkan kadar cukai bagi tanah berstatus pertanian kepada tahap yang optimum supaya tanah-tanah tersebut dapat dibersihkan dari spekulasi dan dapat diperoleh oleh pengusaha tulen.

Kedua, mengezonkan tanah kawasan pertanian dan menetapkan syarat tanaman bagi setiap lot tanah. Contoh, seluruh daerah Perak Tengah dizonkan sebagai kawasan tanaman jagung. Ini akan memudahkan pejabat pertanian daerah menguruskan hanya satu jenis tanaman yang akan meningkatkan keupayaan dan kepakaran agensi tersebut.

Sementara di peringkat Persekutuan, penyemakan stok tanah pertanian dibuat serta membahagikan kepada zon mengikut jenis tanaman dengan mengambil kira keperluan negara.",2025-08-07
Utusan Malaysia,Malaysia negara gagal? - Utusan Malaysia,https://www.utusan.com.my/rencana/2021/07/malaysia-negara-gagal/,2021-07-10,,"Baru-baru ini, seorang kolumnis Bloomberg , Daniel Moss menerbitkan satu artikel berjudul Malaysia is Staggering Down the Road to Failed Statehood yang mana menurut pandangan kami adalah berat sebelah, tidak menceritakan perihal sebenarnya serta boleh merosakkan pandangan masyarakat mengenai imej baik Malaysia.

Kami di sini ingin memberikan pandangan yang lebih seimbang.

Pertama, negara gagal adalah sebuah negara di dalam kekacauan dengan sistem kesihatan yang tidak berfungsi, agensi-agensi kerajaan dengan budaya makan suap yang tiada penghujungnya, kemudahan prasarana yang parah dengan Indeks Pembangunan Manusia (HDI) amat rendah. Tiada satu pun ciri-ciri ini ada pada Malaysia.

Inisiatif bendera putih ini tidak berkait langsung untuk menggambarkan Malaysia adalah sebuah negara yang menuju kegagalan. Inisiatif ini adalah bukti dan manifestasi bahawa rakyat Malaysia tanpa mengira kaum serta agama, saling membantu dan menyayangi antara satu sama lain. Perpaduan rakyat berbilang kaum di negara ini adalah resepi utama kenegaraan yang dicemburui kebanyakan negara-negara lain di dunia.

Sekiranya Malaysia benar-benar menuju kegagalan, majoriti warganya akan tersungkur ke kancah kedaifan dalam waktu terdekat dengan seluruh negara dibelenggu kekacauan tidak berkesudahan. Namun, kerajaan yang mentadbir masih lagi kekal menerajui walaupun terdapat usaha-usaha untuk menjatuhkannya. Malaysia diiktiraf sebagai negara yang stabil pada  2020 menurut Fragile State Index terbitan majalah Foreign Policy .

Walaupun Malaysia berhadapan wabak ini, kadar kemiskinan kekal di bawah 10 peratus daripada keseluruhan penduduknya pada 2020.

Agensi-agensi kerajaan masih beroperasi dan berfungsi dengan cekap, terutamanya sistem kesihatan yang sedang berusaha memerangi Covid-19. Kedua-dua Kementerian Kesihatan dan Jabatan Kesihatan  bekerja seiringan dengan pelbagai agensi dan pertubuhan lain dalam memastikan kesemua pesakit Covid-19 dirawat dengan baik tanpa ada yang tercicir.

Pada awalnya, Malaysia berjaya membendung penularan wabak ini. Ketika negara-negara dunia seperti United Kingdom (UK), Itali, Amerika Syarikat dan Perancis berhempas pulas melawan virus bahaya pada Julai tahun lalu, Malaysia berhasil membebaskan diri dengan kadar jangkitan sifar.

Menjelang November 2020, Reuters melaporkan UK telah gagal dalam peperangan melawan wabak ini apabila jumlah kematian melepasi 50,000. Meskipun majoriti rakyat UK sudah divaksinasi, negara tersebut pada hari ini merekodkan lebih 128,000 kematian dengan kes kebolehjangkitan melebihi 545,000. Malaysia pula pada hari ini merekodkan 6,000 kematian dengan 81,000 kes aktif.

UK kekal sebagai salah sebuah negara dengan kes Covid-19 tertinggi di dunia. Varian baharu kini sedang perlahan-lahan menular di negara tersebut dan berpotensi melumpuhkan seluruh Eropah.

Berdasarkan laporan The Guardian tahun lalu, sebanyak 700,000 rakyat Britain dilaporkan tersungkur ke kancah kedaifan akibat pandemik ini. Perlu diingat, UK adalah sebuah negara dunia pertama yang memiliki kekuatan ekonomi yang tidak dimiliki Malaysia. Berdasarkan fakta-fakta yang  disebutkan ini, adilkan untuk seseorang untuk membuat kesimpulan bahawa UK adalah sebuah negara gagal?

1MDB

Di sebalik tuduhan 1MDB dan pelbagai tohmahan kleptokrasi, Malaysia  berjaya mendatangkan wang simpanan sebanyak RM2 trillion – suatu fakta tidak tersangkal yang diakui sendiri bekas Perdana Menteri, Tun Dr. Mahathir Mohamad sebelum beliau meletakkan jawatan secara sukarela pada awal 2020. Bagaimana mungkin sebuah negara gagal yang ditadbir kerajaan yang mengamalkan kleptokrasi berjaya menyimpan wang sebanyak itu?

Kerajaan-kerajaan yang banyak mengamalkan kleptokrasi adalah seperti  pimpinan Mobutu Sese Seko di Zaire (kini Congo) dan Jean Bedel Bokassa di Republik Afrika Tengah. Sebagai contoh, Mobutu Sese Seko telah membelanjakan wang negara untuk membina istana peribadi di kota Gbadolite siap dengan lapangan terbang sendiri.

Jean Bedel Bokassa pula telah berbelanja sakan melebihi satu per tiga  Keluaran Dalam Negara Kasar (KDNK) negaranya untuk penabalan beliau sebagai Maharaja Republik Afrika Tengah pada 1970-an mengakibatkan kedua-dua negara kini menjadi antara yang paling miskin di dunia.

Keadaan ini bukanlah sesuatu yang lazim di Malaysia yang merupakan antara salah sebuah negara yang memiliki ekonomi paling kompetitif di dunia, menurut Forum Ekonomi Dunia. Rakyat Malaysia juga menikmati kemudahan infrastruktur yang cukup moden dan memuaskan, meskipun terdapat beberapa kelemahan. Jauh sekali bagi Malaysia untuk disenaraikan sebagai salah sebuah negara termiskin di dunia seperti Congo dan Republik Afrika Tengah.

Walaupun Malaysia kini berperang dengan kes harian jangkitan Covid-19 yang tinggi, harus diimbangkan juga dengan jumlah warga yang divaksinasi setiap hari.

Kolumnis Bloomberg berkenaan, Moss, gagal untuk menyedari bahawa Malaysia kini telah pun meningkatkan kadar vaksinasi dengan 10 peratus penduduknya telah divaksinasi sepenuhnya dalam jangka masa sebulan. Kadar vaksinasi juga meningkat dari hari ke hari dan dijangka mencapai imuniti kelompok dalam masa beberapa bulan terdekat.

Di sebalik wabak ini, projek-projek mega seperti transit aliran massa MRT2, transit aliran ringan LRT3 dan lebuh raya-lebuh raya baharu di Lembah Klang, antaranya, masih dibangunkan dengan aktif. Menurut laporan Program Pembangunan Pertubuhan Bangsa-Bangsa Bersatu (UNDP), Malaysia pada 2020 merekodkan HDI yang amat tinggi, setanding negara-negara maju lain. Ini bukanlah ciri-ciri sebuah negara gagal

Oleh itu, agak keterlaluan bagi kolumnis berkenaan untuk melabelkan Malaysia sebagai negara yang menuju kegagalan, hanya kerana kempen bendera putih yang sedang dijalankan. Kempen ini menunjukkan kepada dunia bahawa rakyat Malaysia saling membantu dan saling menjaga, walau apa pun rintangannya.

Malaysia negara gagal? Jauh panggang dari api.

Profesor Madya Dr. Mohd. Hazmi Mohd. Rusli dan Dr. Fareed Mohd. Hassan ialah pensyarah di Fakulti Syariah & Undang-Undang, Universiti Sains Islam Malaysia (USIM).",2025-08-07
Utusan Malaysia,Volkswagen tamatkan Beetle tahun depan - Utusan Malaysia,https://www.utusan.com.my/nasional/2018/09/volkswagen-tamatkan-beetle-tahun-depan/,2018-09-14,,"NEW YORK 14 Sept. – Volkswagen akan menamatkan pengeluaran kereta ikoniknya ‘Beetle’ pada 2019 menerusi edisi terakhir kenderaan yang diilhamkan daripada serangga itu. Sedan melengkung di bahagian bumbung yang dibina pada era Nazi Jerman itu telah menjadi fenomena automotif global, dan kini diketepikan ketika Volkswagen lebih menumpukan kepada kenderaan elektrik dan berorientasikan keluarga. Syarikat itu masih berusaha untuk membuka buku baharu selepas terlibat dalam skandal ‘dieselgate’ pada 2015.",2025-08-07
Utusan Malaysia,Syed Saddiq diperintah bela diri terhadap semua empat pertuduhan,https://www.utusan.com.my/nasional/mahkamah/2022/10/syed-saddiq-diperintah-bela-diri-terhadap-semua-empat-pertuduhan/,2022-10-28,,"KUALA LUMPUR: Mahkamah Tinggi di sini sebentar tadi memerintahkan Syed Saddiq Syed Abdul Rahman membela diri terhadap pertuduhan pindaan bersubahat melakukan pecah amanah dana berjumlah RM1 juta milik sebuah parti politik.

Pesuruhjaya Kehakiman Datuk Azhar Abdul Hamid turut memerintahkan penyandang kerusi Parlimen Muar itu membela diri terhadap pertuduhan pindaan menyalahgunakan harta RM120,000 milik Armada Bumi Bersatu Enterprise.

Syed Saddiq, 29, juga diarah membela diri terhadap dua pertuduhan pengubahan wang haram melibatkan pemindahan wang masing-masing RM50,000 daripada akaun Maybank Islamic Berhad miliknya ke dalam akaun Amanah Saham Bumiputera miliknya.

Azhar memutuskan demikian terhadap bekas Menteri Belia dan Sukan itu selepas berpuas hati pihak pendakwaan berjaya membuktikan kes prima facie terhadapnya bagi kesemua pertuduhan.

Mahkamah menetapkan bekas Ketua Angkatan Bersatu Anak Muda (Armada), Parti Pribumi Bersatu Malaysia (Bersatu) itu membela diri bermula 22 Februari tahun depan.

Syed Saddiq didakwa atas pertuduhan pindaan bersubahat dengan Rafiq Hakim Razali yang ketika itu Penolong Bendahari Armada melakukan pecah amanah dana RM1 juta di CIMB Bank Berhad, Tingkat Bawah, Menara CIMB KL Sentral, Jalan Stesen Sentral 2, di sini pada 6 Mac 2020.

Tertuduh didakwa mengikut Seksyen 406 Kanun Keseksaan dibaca bersama Seksyen 109 yang memperuntukkan penjara maksimum 10 tahun dengan sebatan serta boleh dikenakan denda.

Syed Saddiq juga didakwa atas pertuduhan pindaan menyalahgunakan harta RM120,000 daripada akaun Maybank Islamic Berhad milik Armada Bumi Bersatu Enterprise dengan menyebabkan Rafiq Hakim melupuskan wang tersebut.

Perbuatan itu didakwa dilakukan di Maybank Banking Berhad, Taman Pandan Jaya di sini antara 8 April sehingga 21 April 2018.

Bagi kesalahan itu, tertuduh didakwa mengikut Seksyen 403 Kanun Keseksaan yang membawa hukuman penjara tidak kurang enam bulan dan tidak lebih lima tahun dengan sebatan dan boleh dikenakan denda.

Bagi dua pertuduhan melibatkan diri dalam aktiviti pengubahan wang haram, kejadian itu didakwa dilakukan di Jalan Persisiran Perling, Taman Perling, Johor pada 16 Jun dan 19 Jun 2018.

Pertuduhan dikemukakan mengikut Seksyen 4(1)(b) Akta Pencegahan Pengubahan Wang Haram, Pencegahan Pembiayaan Keganasan dan Hasil Daripada Aktiviti Haram 2001 [Akta 613].

Beliau boleh dihukum di bawah Seksyen 4(1) akta sama, dan sabit kesalahan memperuntukkan hukuman penjara maksimum 15 tahun dan denda tidak kurang daripada lima kali ganda jumlah atau hasil daripada aktiviti haram.

Timbalan Pengarah Bahagian Perundangan dan Pendakwaan, Suruhanjaya Pencegahan Rasuah Malaysia (SPRM), Datuk Wan Shaharuddin Wan Ladin hadir mengetuai pasukan pendakwaan manakala peguam Gobind Singh Deo mengetuai pembelaan.

Berita selanjutnya menyusul ….",2025-08-07
Utusan Malaysia,Lelaki campak puluhan tikus ke lantai restoran McDonald's,https://www.utusan.com.my/lipatan-sejarah/2023/11/lelaki-campak-puluhan-tikus-ke-lantai-restoran-mcdonalds/,2023-11-01,,"LONDON: Polis Britain melancarkan siasatan untuk menjejaki aktivis yang melempar puluhan ekor tikus ke dalam sebuah premis McDonald’s di Birmingham.

Rakaman mengejutkan yang dikongsi di media sosial menunjukkan seorang lelaki membuka sebuah kotak berisi puluhan tikus yang dicat dengan warna bendera Palestin dan melepaskannya ke lantai restoran yang penuh sesak itu.

Tindakan itu menyebabkan beberapa pelanggan wanita yang sedang menunggu makanan di cawangan McDonald’s di kompleks riadah Star City menjerit ketakutan.

Rangkaian McDonald’s mengesahkan kejadian itu dan memaklumkan cawangan berkenaan sudah dibuka semula selepas tikus-tikus itu dibuang dan seluruh premis disanitasi.

Video yang dirakam oleh pelanggan di dalam kedai menunjukkan kakitangan McDonald’s menggunakan kotak untuk mengalau tikus-tikus berkenaan keluar ke pintu automatik restoran berkenaan.

Bantahan itu adalah sebahagian daripada gesaan lebih meluas untuk memboikot rangkaian McDonald’s kerana menawarkan makanan percuma kepada tentera Pasukan Pertahan Israel (IDF) bersama Starbucks dan Disney yang didakwa memihak kepada Israel ketika konflik di Palestin berterusan.

Polis West Midlands mengumumkan akan melancarkan siasatan dan menahan penunjuk perasaan itu kerana mencetus kekacauan awam.

“Kami sedang menyiasat selepas puluhan ekor tikus hidup dicampak ke dalam sebuah restoran di luar Watson Road, Nechelles, kira-kira pukul 5.30 petang kelmarin.

“Kami memahami kesusahan yang akan ditimbulkan dan ia tidak boleh diterima dalam apa jua keadaan,” jelas polis dalam satu kenyataan di laman X.",2025-08-07
