News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,"Rakyat perlu hukum kerajaan rosak, muflis moral",https://www.utusan.com.my/nasional/2022/12/rakyat-perlu-hukum-kerajaan-rosak-muflis-moral/,,,No content available,2025-08-06
Utusan Malaysia,Utusan Malaysia tingkat pengukuhan bahasa Melayu di sekolah,https://www.utusan.com.my/nasional/2024/04/utusan-malaysia-tingkat-pengukuhan-bahasa-melayu-di-sekolah/,,,No content available,2025-08-06
Utusan Malaysia,Agong berkenan hadir acara dan majlis sempena sambutan ulang tahun keputeraan baginda - Utusan Malaysia,https://www.utusan.com.my/nasional/2018/09/agong-berkenan-hadir-acara-dan-majlis-sempena-sambutan-ulang-tahun-keputeraan-baginda/,,,No content available,2025-08-06
Utusan Malaysia,Sampai bila Tun M mahu dibohongi? - Utusan Malaysia,https://www.utusan.com.my/rencana/forum/2022/10/sampai-bila-tun-m-mahu-dibohongi/,,,No content available,2025-08-06
Utusan Malaysia,mmCineplexes Plus saji pengalaman berbeza - Utusan Malaysia,https://www.utusan.com.my/gaya/hiburan/2024/03/mmcineplexes-plus-saji-pengalaman-berbeza/,,,No content available,2025-08-06
Utusan Malaysia,"Talent Corp, Yayasan Pahang asah peluang kerja untuk 12,000 graduan - Utusan Malaysia",https://www.utusan.com.my/terkini/2021/12/talent-corp-yayasan-pahang-asah-peluang-kerja-untuk-12000-graduan/,,,No content available,2025-08-06
Utusan Malaysia,Hazmat buka pusat kawalan di Kampung Kuala Koh - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/06/hazmat-buka-pusat-kawalan-di-kampung-kuala-koh/,,,No content available,2025-08-06
Utusan Malaysia,"Selangor terus sumbang kematian terbanyak, 98 kes meninggal di rumah - Utusan Malaysia",https://www.utusan.com.my/terkini/2021/08/selangor-terus-sumbang-kematian-terbanyak-98-kes-meninggal-di-rumah/,,,No content available,2025-08-06
Utusan Malaysia,Wujud suruhanjaya pendidikan demi perpaduan - Utusan Malaysia,https://www.utusan.com.my/nasional/2021/09/wujud-suruhanjaya-pendidikan-demi-perpaduan/,,,No content available,2025-08-06
Utusan Malaysia,"BN akan bangkit, Madius khianati kepercayaan rakyat - Utusan Malaysia",https://www.utusan.com.my/nasional/2018/06/bn-akan-bangkit-madius-khianati-kepercayaan-rakyat/,,,No content available,2025-08-06
Utusan Malaysia,Hana Medic sasar 80% hasil eksport - Utusan Malaysia,https://www.utusan.com.my/nasional/2018/09/hana-medic-sasar-80-hasil-eksport/,,,No content available,2025-08-06
Utusan Malaysia,Unjam jadi penyelamat tiga nelayan selepas bot dipukul ribut,https://www.utusan.com.my/nasional/2023/08/unjam-jadi-penyelamat-tiga-nelayan-selepas-bot-dipukul-ribut/,,,No content available,2025-08-06
